anb16,#0a080d,#697594,#dfe9f5,#f7aaa8,#d4689a,#782c96,#e83562,#f2825c,#ffc76e,#88c44d,#3f9e59,#373461,#4854a8,#7199d9,#9e5252,#4d2536
corruption16,#e1d8cb,#c3b197,#a68a64,#614f38,#362c20,#82998f,#525e5a,#3a4040,#222326,#0a0d0a,#20331f,#495840,#888f72,#c7c7a5,#de8d7d,#833121
magicolor16,#1d1819,#482632,#273635,#4d3d2f,#933633,#316436,#825c3a,#b95358,#c77331,#617a6f,#7fa533,#ca9864,#afaa94,#7dcfa8,#e7dc58,#f7f6db
c64,#000000,#4a4a4a,#7b7b7b,#b2b2b2,#ffffff,#813338,#c46c71,#553800,#8e5029,#edf171,#a9ff9f,#56ac4d,#75cec8,#706deb,#2e2c9b,#8e3c97
herbsnspices,#593a31,#39202e,#613140,#83443e,#c98d3f,#dac282,#9a945c,#6b6657,#384150,#6e7e8d,#90b5c6,#f5efe8,#ab99a4,#55516f,#463554,#17111a
trixbit,#0f0d0f,#d01f6c,#732050,#b54e35,#f79831,#86bd28,#184a4a,#1e1a4f,#2da1c4,#7d4582,#dca8c9,#f7e0b2,#e37f8f,#f7f1e4,#b5a9a3,#5f5666
retrobubble,#9dc1c0,#525b80,#312139,#120e1f,#284646,#62ab46,#95533d,#6a2435,#654147,#fff169,#d7793f,#ab3229,#9e8f84,#ffface,#e0b56d,#f68b69
flowers,#613832,#8b5851,#bf8f75,#ffdeb2,#ffa5a5,#ff8db5,#b87ca4,#856082,#5a4a60,#73628b,#887fce,#8cc1d4,#8bf0c4,#78bab4,#527378,#2f4447
arq16,#ffffff,#ffd19d,#aeb5bd,#4d80c9,#e93841,#100820,#511e43,#054494,#f1892d,#823e2c,#ffa9a9,#5ae150,#ffe947,#7d3ebf,#eb6c82,#1e8a4c
graveyardmist,#0b0d0a,#383730,#665f57,#82857b,#b1b8a9,#dee6b8,#95bdb2,#5a7b85,#273245,#477a5a,#81ba78,#d4ea92,#b59766,#8f5450,#66403c,#40292f
bloom16,#ff9072,#ffc567,#fce39a,#f7f7c7,#afe48d,#61d868,#29ab7d,#2b75b7,#00408f,#092867,#110f3e,#371a77,#6f2a8f,#ab2aa3,#d64d9a,#ff718c
o16,#f9fff2,#f5d678,#6be0bf,#bab197,#96d45b,#f56c77,#e0864a,#59909e,#579460,#9e4891,#6e6660,#505273,#ab3737,#693c36,#3a363d,#202026
rgrproto16,#fff9b3,#b9c5cc,#4774b3,#144b66,#8fb347,#2e994e,#f29066,#e65050,#707d7c,#293c40,#170b1a,#0a010d,#570932,#871e2e,#ffbf40,#cc1424
kitchen16,#120e23,#5a265e,#8d2d4e,#ba6156,#f2a65e,#ffce95,#10d275,#007899,#473b78,#323e4f,#636686,#8c88a5,#e2d9ea,#fffff5,#eacebd,#b48894
peachypop16,#fdffff,#ff8686,#fb4771,#ce186a,#8f0b5f,#53034b,#ad6dea,#9fb9ff,#567feb,#0a547b,#278c7f,#0ce7a7,#acfcad,#ffec6d,#ffa763,#ff4040
mystic16,#160d13,#31293e,#4d6660,#95b666,#ef9e4e,#ad4030,#56212a,#904b41,#a69998,#5f575e,#8eb89e,#f6f2c3,#e79b7c,#9b4c63,#432142,#d1935f
muddygrass16,#100a0a,#333025,#585e53,#a5a589,#eae5d1,#dec666,#97ab50,#516b38,#25150f,#522732,#9c323c,#c4663d,#e48d80,#6392af,#2c3c6a,#2c1d34
sara98a,#b61030,#e24050,#ee7175,#f69d9d,#fffff2,#ead6aa,#daa56d,#ca713c,#ae4c30,#7d1818,#551008,#713410,#657150,#71958d,#a5baae,#1c0810
atepalette,#f8b888,#f88e89,#e86878,#985898,#162432,#488888,#48bd68,#d8e888,#e8f8f8,#a8b8f8,#8484f8,#484888,#4868e8,#68a8e8,#f8b8c8,#f889c8
peregrine16,#383131,#634157,#91837d,#c2b695,#dbd09a,#e6e1ca,#cc9c66,#b7577a,#8a5080,#c291a2,#d6b8a7,#b0c2b5,#969e61,#538778,#295868,#343e61
blankvhsbox,#fef6dd,#f3e46d,#bf98ac,#b1739a,#ed7275,#eb5b2b,#e1202d,#e67216,#edd600,#0e8743,#a0c5c6,#0a5c9f,#392874,#c33479,#86215f,#212425
